Название,Артикул,"Вес, кг"
"Антицеллюлит, для массажа и ухода за проблемными зонами,  50 мл","0,071",266
"Аромасепт, антисептический, регенерирующий,  50 мл","0,071",267
"Блеск, для  укрепления и питания волос,  50 мл","0,071",268
"Бодрость, для ухода за ногами, при болях и отеках, 50 мл","0,071",269
"Будьте Здоровы, широкого спектра действия, в т.ч. при бронхитах, болях и воспалениях в мышцах и суставах,  50 мл","0,071",270
"Вечная Молодость, для интимной ароматерапии,  50 мл","0,071",271
"Грация, уход за телом,  50 мл","0,071",272
"Для Детей, для ухода за кожей малышей с противовоспалительным действием, 30 мл","0,47",273
"Мир Души,  расслабляющий и успокаивающий, 50 мл","0,071",274
"Мулатка, для загара,  50 мл","0,071",275
"Нега, для ванн, расслабляющий и успокаивающий,  50 мл","0,071",276
"Нежность, для ухода за кожей после депиляции  50 мл","0,071",277
"Нежные Руки, для ухода за кожей рук,  50 мл","0,071",282
"Очаровательные Губки, для ухода за губами, с роликовым аппликатором, 13 мл","0,27",690
"Очаровательные Ноготки,  для укрепления ногтей и ухода за кутикулой, с кисточкой,  10 мл","0,024",686
"При Насморке на открытке 1,3 мл",,183
При Насморке (без спрея) 5 мл,"0,043",700
При Насморке назальный спрей 10 мл,"0,025",280
"Репейное масло, для укрепления и роста волос,  50 мл","0,071",281
"Солнышко, при термических и солнечных ожогах, 50 мл","0,071",283
"Тонус, для массажа лица и тела с подтягивающим эффектом, 30 мл      Новинка!","0,47",2111
"Улыбка, для ухода за полостью рта,  50 мл","0,071",450
"Чистая Красота, для ухода за  проблемной кожей,  50 мл","0,071",285
Бальзамы косметические ароматические массажные (рекомендуются к использованию в массажных салонах),,
"Сосновый бор для общего оздоровительного массажа, 200 г                     Новинка!","0,235",2049
"Кипарисовая роща для антицеллюлитного массажа, 200 г                           Новинка!","0,235",2048
"Бальзамы косметические ароматические лечебно-профилактические массажные  на основе эфирных масел, воска и экстракта красного перца",,
"Гармонизирующий, для релаксации, при головной боли, для похудения, 14 г","0,034",260
"Освежающий,  при головной боли, при ОРЗ и ОРВИ, при бронхите, 14 г","0,034",261
"Расслабляющий,  для релаксации, при болях в суставах, для похудения, 14 г","0,034",263
"Укрепляющий, при ОРЗ и ОРВИ, при болях в суставах, при бронхите, 14 г","0,034",264
"Успокаивающий, при головной боли, для релаксации, при бесоннице, 14 г","0,034",265
"Бальзамы косметические ароматические лечебно-профилактические на основе вазелина, жирных и э/м, воска и экстрактов лекарственных растений",,
"Аромагем, для  комплексного лечения геморроя, 42 г","0,064",256
"Аромакомфорт, для комплексной терапии герпес-вирусной инфекции, 42 г","0,064",257
"Чистая Кожа, для комплексного лечения угрей, псориаза и аллергических дерматитов, 42 г","0,064",258
"Блюз,  для нормальной кожи, 200 мл","0,233",1984
"Долина Роз,  для нормальной и сухой кожи,  200 мл","0,233",740
"Иланг – Иланг,  для комбинированной кожи,  200 мл","0,233",1112
"Интим, для интимной гигиены, 200 мл","0,233",1594
"Лаванда, для чувствительной и проблемной кожи,  200 мл","0,233",1595
"Нежность, для нормальной и жирной кожи,  200 мл","0,233",305
"Принцесса Нероли для чувствительной и сухой кожи, 200 мл                      Новинка!","0,233",2003
"Слезы Зари, для всех типов кожи лица и для волос, 200 мл","0,233",1480
"Флирт, для всех типов кожи,  200 мл","0,233",1096
"Чайное Дерево, для проблемной кожи, склонной к воспалению, 200 мл","0,233",1667
"Энергия Солнца для всех типов кожи и вокруг глаз, 200 мл                        Новинка!","0,233",2004
"Южная Ночь для жирной пористой кожи, 200 мл                                            Новинка!","0,233",2005
"без распылителя, 500 мл",,
"Долина Роз  для нормальной и сухой кожи,  500 мл","0,51",1485
"Лаванда, для чувствительной и проблемной кожи,  500 мл                            Новинка!","0,51",2000
"Чайное Дерево, для проблемной кожи, склонной к воспалению, 500 мл   Новинка!","0,51",2001
Гели косметические для ухода за лицом и телом,,
"Алоэ,  для проблемной кожи,  80 г","0,092",291
"Бодрость, для ухода за кожей ног, 80 г","0,092",292
"Гель-Скраб,  для всех типов кожи, 80 г","0,092",293
"Жасмин,  для ухода за кожей тела, 140 г                       НОВИНКА!","0,16",996
"Петрушка,  для ухода за кожей вокруг глаз, 35 г","0,045",295
"Розовый Жемчуг,  для нормальной и сухой кожи, 80 г","0,092",297
"Фреш Ролл, охлаждающий, для ухода за кожей вокруг глаз 16 г","0,045",865
Гели косметические - скорая помощь,,
,,
"После Солнечных Ожогов,  регенерация и увлажнение кожи,  80г","0,092",298
